Timestamp start: 1778760371212
Timestamp end: 1778761501563

#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target
read      286.8   314.6    74.4   117.7   130.5   248.1   302.2   335.2   362.1   396.0   442.1   521.4   868.2  4972.4 10767.3  50238.2    50216
read      387.4   759.3    74.4   118.3   132.2   246.4   309.7   351.5   389.3   438.6   512.6   672.1  5987.4  7796.2  9342.2  72410.6    72251
read      306.4   399.3    74.4   116.7   129.9   238.4   298.6   336.9   369.2   416.2   489.0   610.1  1438.4  6294.0  8050.5  71705.2    71798
read      296.1   292.2    74.4   131.1   150.1   259.7   303.7   327.9   345.0   366.8   395.6   449.0  1465.6  3999.9  7900.2  19891.6    19701
read      315.8   442.2    80.4   128.0   145.8   258.6   305.0   333.5   355.2   381.8   417.9   484.0  1898.5  7314.6  9881.4  24935.8    24952
read      284.6   395.8    74.4   118.9   132.3   232.5   285.3   313.5   334.4   360.6   398.8   492.9  1160.7  6867.8 10276.0  81699.2    81838
read      296.5   260.0    80.4   125.6   143.4   266.8   318.7   348.7   370.8   396.4   428.5   483.8   871.6  3861.9  7852.0  26675.4    26648
read      302.3   277.1    74.4   126.5   145.0   272.1   323.9   351.9   371.9   396.0   426.5   477.3  1083.5  4038.7  7812.5  24920.2    24837
read      304.1   302.6    74.4   122.9   140.5   267.5   321.2   353.8   377.5   405.0   440.9   504.3  1085.3  4425.0  8123.0  29502.8    29420
read      280.4   373.0    74.4   120.9   135.5   236.1   286.4   314.4   335.8   362.7   400.8   477.5   804.4  6425.7  9265.5 103616.6   103882
read      283.5   275.5    74.4   115.3   128.1   235.4   294.7   329.8   358.8   400.2   466.9   576.3  1002.7  3709.2  8447.2  70431.8    70314
read      426.0   701.4    74.4   120.3   135.8   267.1   338.3   392.9   443.6   515.8   630.5  1072.1  4281.4  7667.5  9702.2  61604.0    61679
read      292.3   340.5    74.4   116.7   129.9   247.8   301.9   335.0   361.8   396.2   443.9   529.0  1087.0  5339.2  9608.4  49644.0    49557
read      290.1   292.7    80.4   132.7   152.3   256.4   297.7   321.2   339.4   361.3   390.8   444.1  1138.7  4111.0  8948.6  19299.2    19325
read      238.3   168.3    86.8   146.5   164.6   223.8   246.9   260.8   270.9   283.9   300.6   332.3   530.3  2230.3  8867.4   9122.4     9128
read      300.1   492.3    74.4   120.5   135.0   238.0   290.2   319.0   341.2   368.9   409.1   500.0  1095.4  7196.9  9441.7  94960.2    94933
read      289.1   216.5    80.4   128.2   145.9   263.9   312.0   340.1   360.7   384.7   415.6   467.0   866.3  3025.0  7520.5  24338.0    24327
read      359.6   651.5    74.4   118.7   132.7   245.7   307.2   345.2   380.2   430.6   508.3   671.1  3489.5  7806.4  9887.5  71833.6    71896
read      257.2   213.4    74.4   118.8   132.3   227.9   277.3   304.1   322.9   345.9   378.6   438.6   762.6  3279.8  7088.7  94033.0    93771
read      273.4   182.8    74.4   128.4   147.4   253.0   294.6   318.0   335.8   356.4   383.3   428.3   743.0  2632.5  4332.8  20396.2    20452
read      275.2   245.3    74.4   119.2   132.9   247.9   295.2   321.7   343.6   371.5   410.5   480.9   793.3  3709.5  7726.3  42350.4    42338
read      408.0   803.0    74.4   119.5   134.1   252.8   316.5   361.5   401.6   457.3   538.8   742.2  6094.6  7905.2 10272.5  72714.8    72627
read      275.0   266.0    74.4   116.3   129.2   229.3   284.0   313.7   336.1   365.1   410.8   531.9  1187.8  3426.9  7665.6  80832.2    80603
read      270.0   182.9    74.4   116.3   129.3   245.7   297.2   327.5   351.3   381.7   424.0   493.4   692.9  2610.9  4781.7  48969.8    49049
read      263.0   279.4    74.4   118.0   131.3   227.9   278.0   304.7   323.5   346.4   379.4   440.5   790.8  4107.3  7771.5  92098.2    92305
read      281.8   304.9    74.4   113.9   126.3   243.4   300.0   333.7   361.2   397.4   449.5   537.4   834.4  4604.8 11842.6  56732.6    56889
read      245.5   142.4    74.4   116.3   129.1   224.2   275.7   301.9   319.7   341.3   369.7   421.5   636.0  1862.8  3195.6  77788.8    78036
read      239.9   115.8    74.4   117.2   129.9   225.8   276.5   301.3   317.9   337.5   362.3   400.7   516.5  1041.2  2979.9  71627.4    71583
read      236.4   102.4    74.4   116.4   128.9   223.5   274.1   298.6   315.2   334.4   358.4   395.6   495.5   799.6  2001.7  72382.0    72609
read      246.1   128.9    74.4   119.7   133.7   227.3   274.3   299.9   318.1   340.5   370.4   422.7   578.5  1538.9  3108.8 107099.4   107382
read      237.1   113.1    74.4   116.3   129.1   220.7   270.2   295.7   313.6   334.4   361.0   401.9   522.8  1072.6  2950.7  86730.8    86530
read      256.6   137.4    74.4   131.5   150.4   243.2   279.9   299.7   314.5   332.0   354.3   391.8   553.0  1902.9  3211.1  16527.6    16550
